StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,Q4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_10_TEXT,Q8,Q9,Q7,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q11,Q15,Q15_4_TEXT,Q16,Q19
2019-10-18 18:11:19,2019-10-18 18:21:22,IP Address,157.51.126.195,100,603,True,2019-10-18 18:21:23,R_2wzXaA0yd1DTL0e,,,,,13.087799072265625,80.27850341796875,anonymous,EN,11,2018,1-10,,Information,,Conversation,Shopping,,,Time,,,,Somewhat agree,Strongly agree,"its good for only uses not bad ",Probably incorrect,I don't know,Definitely incorrect,Probably incorrect,I don't know,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:27:41,2019-10-18 18:32:53,IP Address,157.46.121.4,100,311,True,2019-10-18 18:32:53,R_2znY00G3XooWdYE,,,,,13.087799072265625,80.27850341796875,anonymous,EN,4,2019,1-10,"Audio (music, radio, podcasts, etc)",,,,,Alarm,,,,,,Strongly agree,Somewhat agree,"not problems found ",Probably incorrect,Probably correct,I don't know,Definitely incorrect,Probably incorrect,35 - 44,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:20,2019-10-18 18:48:14,IP Address,122.164.17.207,100,53,True,2019-10-18 18:48:14,R_DHm2NpsZ767rR1T,,,,,13.087799072265625,80.27850341796875,anonymous,EN,8,2016,1-10,,,,Conversation,Shopping,,,,,,,Neither agree nor disagree,Somewhat agree,nike,Probably incorrect,Probably correct,Definitely correct,I don't know,Probably correct,18 - 24,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:25,2019-10-18 18:48:49,IP Address,205.209.93.208,100,83,True,2019-10-18 18:48:49,R_3PSNKuqxu4XXgRI,,,,,45.65960693359375,-68.7100982666015625,anonymous,EN,4,2019,1-10,"Audio (music, radio, podcasts, etc)",,,Conversation,,Alarm,Weather,,Reminders,,,Strongly agree,Somewhat agree,"Who is listening. ",I don't know,Probably correct,I don't know,I don't know,Probably correct,25 - 34,Female,,No,Associate degree in college (2-year)
2019-10-18 18:47:23,2019-10-18 18:48:52,IP Address,49.207.133.185,100,89,True,2019-10-18 18:48:53,R_2f3yzQhnUPz2W0M,,,,,13.087799072265625,80.27850341796875,anonymous,EN,10,2019,11-20,,Information,,,,,,,,,,Strongly agree,Strongly agree,"Personalized Overviews. Schedule Assessment. Highlights: Global Expertise And Assistance, Offering A Comprehensive Security Platform",Definitely correct,Probably correct,Definitely correct,Probably correct,Definitely correct,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:24,2019-10-18 18:49:06,IP Address,67.85.240.80,100,102,True,2019-10-18 18:49:07,R_33kxpiZczCL4NfG,,,,,40.5980072021484375,-73.9467010498046875,anonymous,EN,10,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,,Conversation,,,Weather,,,,,Somewhat agree,Somewhat agree,That it is listening in to my conversations to perhaps gain information for advertisers.,Probably correct,Definitely correct,Definitely correct,I don't know,Probably incorrect,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:32,2019-10-18 18:49:10,IP Address,122.164.18.214,100,98,True,2019-10-18 18:49:11,R_1o4Lukg7PiAj0AF,,,,,13.087799072265625,80.27850341796875,anonymous,EN,3,2018,1-10,"Audio (music, radio, podcasts, etc)",,,,,Alarm,,Time,Reminders,,,Somewhat agree,Strongly agree,Large sound,Probably correct,Definitely correct,I don't know,Probably correct,Probably correct,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:02,2019-10-18 18:49:23,IP Address,122.164.53.238,100,81,True,2019-10-18 18:49:24,R_yKFSJU4Pmhpn3Q5,,,,,9.9398956298828125,76.26019287109375,anonymous,EN,7,2017,1-10,"Audio (music, radio, podcasts, etc)",,Controlling other devices,Conversation,Shopping,Alarm,Weather,,,,,Somewhat agree,Somewhat agree,"It's tough to secure your data and privacy if you don't even know how to check to ... If your device can connect to the network, there's a very high ..",Probably correct,Definitely correct,Probably correct,Definitely correct,Probably correct,18 - 24,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:41,2019-10-18 18:49:30,IP Address,179.52.240.159,100,109,True,2019-10-18 18:49:30,R_2wcr5rcOtwQwF9D,,,,,18.4656982421875,-69.8939971923828125,anonymous,EN,6,2018,1-10,"Audio (music, radio, podcasts, etc)",,Controlling other devices,,,,,Time,Reminders,,,Somewhat disagree,Somewhat disagree,I don't have any privacy concerns about it,Probably incorrect,I don't know,I don't know,Probably incorrect,I don't know,25 - 34,Male,,No,Bachelor's degree in college (4-year)
2019-10-18 18:48:13,2019-10-18 18:49:34,IP Address,122.164.29.198,100,81,True,2019-10-18 18:49:34,R_1ohRMhDqngLqx0K,,,,,13.087799072265625,80.27850341796875,anonymous,EN,5,2019,11-20,,,Controlling other devices,,,,Weather,,,,,Somewhat agree,Neither agree nor disagree,good,Probably incorrect,Probably correct,Probably incorrect,Probably incorrect,Probably incorrect,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:34,2019-10-18 18:49:38,IP Address,49.207.133.90,100,124,True,2019-10-18 18:49:38,R_3oIarxYOiCwIqpe,,,,,13.087799072265625,80.27850341796875,anonymous,EN,1,2015,1-10,"Audio (music, radio, podcasts, etc)",,,,,Alarm,Weather,Time,,,,Strongly agree,Somewhat agree,Yes,Definitely correct,Probably correct,Definitely correct,Probably correct,Definitely correct,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:16,2019-10-18 18:49:51,IP Address,157.51.198.135,100,94,True,2019-10-18 18:49:52,R_2DOYJ4G8JKwUAjj,,,,,13.087799072265625,80.27850341796875,anonymous,EN,10,2019,11-20,,,,,,,Weather,,,,,Somewhat disagree,Neither agree nor disagree,GOOD,Probably correct,Definitely correct,I don't know,Probably correct,I don't know,18 - 24,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:01,2019-10-18 18:50:18,IP Address,107.204.153.60,100,136,True,2019-10-18 18:50:18,R_3HBsemMIQ4btUvp,,,,,32.8571014404296875,-116.919097900390625,anonymous,EN,6,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,,,,Alarm,,Time,Reminders,,,Somewhat agree,Strongly agree,"That it is listening to personal matter, and that Amazon is collecting this, and selling it, but I just don't talk to other people in the room with it; mostly.",Definitely correct,Definitely correct,I don't know,Probably incorrect,Probably correct,25 - 34,Male,,No,Some college but no degree
2019-10-18 18:47:51,2019-10-18 18:50:22,IP Address,174.134.165.247,100,151,True,2019-10-18 18:50:23,R_1g0mj0A8KahOMVX,,,,,35.32879638671875,-118.97480010986328125,anonymous,EN,5,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,,,,Alarm,Weather,,Reminders,,,Somewhat disagree,Somewhat agree,"Recently, it sounded like someone else other than Alexa responded to one of our commands. It sounded like an actual human voice and nothing digitized. Plus, I have also read that the Echo picks up on your normal conversations and records those as well. ",Probably incorrect,Definitely correct,I don't know,Probably correct,Probably incorrect,25 - 34,Male,,No,Bachelor's degree in college (4-year)
2019-10-18 18:47:29,2019-10-18 18:50:25,IP Address,103.66.79.156,100,176,True,2019-10-18 18:50:25,R_3m4cXNYEhMEBs5G,,,,,13.087799072265625,80.27850341796875,anonymous,EN,2,2015,1-10,"Audio (music, radio, podcasts, etc)",,Controlling other devices,,,,,,,,,Strongly agree,Strongly agree,none,Probably correct,Probably correct,I don't know,I don't know,Probably incorrect,18 - 24,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:33,2019-10-18 18:50:31,IP Address,171.49.195.50,100,178,True,2019-10-18 18:50:31,R_1QsIpgz1DxqJhFN,,,,,13.087799072265625,80.27850341796875,anonymous,EN,6,2019,1-10,"Audio (music, radio, podcasts, etc)",,,,,,,,,,,Strongly agree,Strongly agree,"if some one connect it will speak ",I don't know,Probably incorrect,Definitely incorrect,Probably incorrect,Probably incorrect,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:59,2019-10-18 18:50:36,IP Address,122.174.96.142,100,97,True,2019-10-18 18:50:37,R_6GaTYZR9yKrvmgN,,,,,9.96710205078125,76.2904052734375,anonymous,EN,10,2019,1-10,,Information,,,,,,,,,,Somewhat agree,Somewhat agree,"Limit on Power.
Respect for Individuals. 
Reputation Management. 
Maintaining Appropriate Social Boundaries. 
Trust. ",Probably correct,Definitely correct,Definitely correct,Probably correct,Definitely correct,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:14,2019-10-18 18:50:46,IP Address,223.181.224.5,100,152,True,2019-10-18 18:50:47,R_cISS7DbhwnFJhOV,,,,,11.0054931640625,76.966094970703125,anonymous,EN,8,2019,11-20,"Audio (music, radio, podcasts, etc)",Information,,Conversation,,,Weather,Time,,,,Strongly agree,Somewhat agree,"no privacy and security ",Probably correct,Definitely correct,I don't know,Definitely correct,I don't know,35 - 44,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:49,2019-10-18 18:50:47,IP Address,223.181.220.1,100,178,True,2019-10-18 18:50:47,R_1GxzkBpbLQSeie4,,,,,11.0054931640625,76.966094970703125,anonymous,EN,7,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,,,,Alarm,,,,,,Somewhat agree,Neither agree nor disagree,NO IT IS VERY SECURED ONE MY DEVICE,Probably incorrect,Definitely correct,Probably correct,Probably correct,I don't know,35 - 44,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:47:23,2019-10-18 18:50:52,IP Address,179.155.25.194,100,208,True,2019-10-18 18:50:52,R_2Vq1QsA2VZ5imyO,,,,,-22.9219970703125,-43.1024932861328125,anonymous,EN,6,2016,1-10,"Audio (music, radio, podcasts, etc)",,,,,Alarm,,,,,,Somewhat disagree,Neither agree nor disagree,The device monitoring my house someway.,Probably correct,I don't know,Probably incorrect,Probably correct,Probably incorrect,18 - 24,Male,,No,Some college but no degree
2019-10-18 18:47:35,2019-10-18 18:50:59,IP Address,179.183.111.186,100,203,True,2019-10-18 18:50:59,R_OJPYmYY6QzXOXE5,,,,,-15.779205322265625,-47.9340972900390625,anonymous,EN,10,2019,1-10,"Audio (music, radio, podcasts, etc)",,,Conversation,,,,,Reminders,,,Strongly agree,Somewhat agree,I'm afraid my data will be copied without my permission,Definitely correct,Probably correct,Definitely correct,Definitely correct,Probably incorrect,45 - 54,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:17,2019-10-18 18:51:07,IP Address,216.21.163.69,100,169,True,2019-10-18 18:51:07,R_10BDCQ4BdeMcunp,,,,,40.2342071533203125,-111.64420318603515625,anonymous,EN,8,2016,1-10,"Audio (music, radio, podcasts, etc)",,,,,,,,,,,Strongly agree,Strongly agree,PIN CODE,Definitely incorrect,Probably incorrect,I don't know,Probably incorrect,Definitely incorrect,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:08,2019-10-18 18:51:23,IP Address,172.245.79.192,100,195,True,2019-10-18 18:51:23,R_2aXgY0UcBh1YGjV,,,,,42.0048065185546875,-87.99539947509765625,anonymous,EN,6,2016,1-10,,,Controlling other devices,,Shopping,,Weather,,,,,Strongly agree,Somewhat agree," if your desktop isn’t protected by a password, lock screen, or biometrics, it’s a straightforward matter for anyone who gets their hands on your device to gain unauthorized access to a treasure trove of confidential data, intellectual property, software, and messaging functionality. With weak passwords relatively easy to guess or hack",Definitely incorrect,Probably incorrect,Definitely incorrect,Probably incorrect,Probably incorrect,25 - 34,Male,,Yes,Master's degree
2019-10-18 18:48:02,2019-10-18 18:51:23,IP Address,192.181.228.210,100,201,True,2019-10-18 18:51:24,R_3Pb15x9njJnk5jg,,,,,39.5370025634765625,-83.4550018310546875,anonymous,EN,12,2018,1-10,"Audio (music, radio, podcasts, etc)",,,,,Alarm,Weather,Time,Reminders,,,Strongly agree,Somewhat agree,I sometimes worry that it can hear my conversations.,Probably correct,I don't know,Definitely correct,I don't know,I don't know,25 - 34,Male,,No,High school graduate (high school diploma or equivalent including GED)
2019-10-18 18:49:59,2019-10-18 18:51:35,IP Address,122.174.160.221,100,96,True,2019-10-18 18:51:36,R_10TmBcBY8WjEURI,,,,,13.087799072265625,80.27850341796875,anonymous,EN,5,2014,21+,"Audio (music, radio, podcasts, etc)",,,Conversation,Shopping,,,,,,,Strongly agree,Strongly agree,"do not hack ",Definitely incorrect,Probably incorrect,Definitely incorrect,Probably incorrect,Definitely incorrect,25 - 34,Male,,Yes,Master's degree
2019-10-18 18:49:16,2019-10-18 18:52:14,IP Address,122.174.114.91,100,177,True,2019-10-18 18:52:14,R_80W415j1CcfBCuZ,,,,,9.9398956298828125,76.26019287109375,anonymous,EN,2,2017,11-20,"Audio (music, radio, podcasts, etc)",Information,,,Shopping,Alarm,Weather,Time,,,,Strongly agree,Somewhat agree,ITS ALWAYS FOR ME ONLY ITS MY SOUL AND IMPORTANT THING OF MY LIFE,Probably incorrect,Probably incorrect,Definitely incorrect,Definitely incorrect,Probably incorrect,25 - 34,Female,,Yes,Master's degree
2019-10-18 18:47:48,2019-10-18 18:52:16,IP Address,71.66.44.10,100,267,True,2019-10-18 18:52:16,R_1q2KTmgAA8qbWEt,,,,,38.0052032470703125,-84.42299652099609375,anonymous,EN,12,2017,1-10,,Information,,,,Alarm,,,Reminders,,,Strongly disagree,Strongly disagree,"Did not have any privacy or security concerns when using Echo device. Overall, Amazon products have always provided stellar security/privacy. Never really have any worries when using things by them and haven't had any pause for concern in the past.",Definitely correct,Definitely incorrect,Definitely correct,Definitely correct,Definitely incorrect,25 - 34,Male,,No,Bachelor's degree in college (4-year)
2019-10-18 18:52:14,2019-10-18 18:52:57,IP Address,122.164.202.109,100,42,True,2019-10-18 18:52:57,R_3KoTnLLbLXg9BqG,,,,,13.087799072265625,80.27850341796875,anonymous,EN,6,2019,11-20,,,Controlling other devices,,Shopping,,,,,,,Neither agree nor disagree,Somewhat agree,good,I don't know,Definitely incorrect,Probably incorrect,Definitely incorrect,Definitely incorrect,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:40,2019-10-18 18:53:01,IP Address,171.49.199.147,100,261,True,2019-10-18 18:53:02,R_2UeVBcF3ncE5wYn,,,,,13.087799072265625,80.27850341796875,anonymous,EN,4,2018,1-10,,,Controlling other devices,Conversation,Shopping,Alarm,Weather,,,,,Somewhat agree,Somewhat agree,i secure my mobile and my home device,Probably correct,Probably incorrect,I don't know,Probably correct,I don't know,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:51:49,2019-10-18 18:53:03,IP Address,171.49.195.50,100,73,True,2019-10-18 18:53:03,R_2tKFTNaUKVUshp6,,,,,13.087799072265625,80.27850341796875,anonymous,EN,6,2019,1-10,"Audio (music, radio, podcasts, etc)",,,,,,,,,,,Strongly agree,Somewhat agree,i hear only in alone,Definitely correct,Probably correct,Probably correct,I don't know,Definitely correct,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:50:00,2019-10-18 18:53:37,IP Address,122.164.79.81,100,217,True,2019-10-18 18:53:37,R_1flVFYhdmfafDXy,,,,,13.087799072265625,80.27850341796875,anonymous,EN,3,2014,11-20,"Audio (music, radio, podcasts, etc)",Information,,Conversation,Shopping,,,,,,,Somewhat agree,Somewhat agree,"A mobile phone is a wireless handheld device that allows users to make and receive calls and to send text messages, among other features. The earliest generation of mobile phones could only make and receive calls. ... A mobile phone may also be known as a cellular phone or simply a cell phone.
",Probably correct,Definitely correct,Probably correct,I don't know,Probably correct,18 - 24,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:03,2019-10-18 18:53:41,IP Address,157.46.7.155,100,337,True,2019-10-18 18:53:41,R_2D5M3sHOnmylpHa,,,,,13.087799072265625,80.27850341796875,anonymous,EN,4,2019,1-10,,,,Conversation,Shopping,,Weather,,Reminders,,,Strongly agree,Somewhat agree,Password security,Probably correct,Definitely correct,Definitely correct,I don't know,Probably incorrect,25 - 34,Male,,No,Bachelor's degree in college (4-year)
2019-10-18 18:51:24,2019-10-18 18:53:51,IP Address,157.50.5.235,100,146,True,2019-10-18 18:53:51,R_1KoIubCOaCSDlFl,,,,,13.087799072265625,80.27850341796875,anonymous,EN,10,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,Controlling other devices,,,Alarm,,,,,,Strongly agree,Somewhat agree,NOT PROBLEMS FOUND OF  THE DEVICE,Probably incorrect,Probably correct,Definitely correct,Probably correct,I don't know,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:50:51,2019-10-18 18:53:54,IP Address,49.207.133.90,100,182,True,2019-10-18 18:53:54,R_2SAkKKt6o39ldrP,,,,,13.087799072265625,80.27850341796875,anonymous,EN,3,2016,1-10,,Information,,,,,,,,,,Somewhat agree,Strongly agree,lapptop,Probably correct,Definitely correct,Probably correct,Definitely correct,Probably correct,25 - 34,Female,,Yes,Master's degree
2019-10-18 18:50:48,2019-10-18 18:53:57,IP Address,122.164.54.22,100,189,True,2019-10-18 18:53:57,R_vOxsjEbOaNFtdK1,,,,,9.96710205078125,76.2904052734375,anonymous,EN,6,2015,1-10,"Audio (music, radio, podcasts, etc)",,,,,,,,,,,Somewhat agree,Somewhat agree,nothing,Definitely correct,Probably correct,Definitely correct,Probably correct,Definitely correct,18 - 24,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:51:17,2019-10-18 18:54:06,IP Address,47.27.232.124,100,168,True,2019-10-18 18:54:07,R_2v22L6EPu9nJd42,,,,,40.558502197265625,-122.4138946533203125,anonymous,EN,10,2018,11-20,"Audio (music, radio, podcasts, etc)",Information,Controlling other devices,,Shopping,Alarm,Weather,Time,Reminders,Other,timer,Somewhat agree,Somewhat disagree,that amazon was listening in on conversations when alexa was not in use,Probably incorrect,Probably correct,Definitely correct,I don't know,Probably incorrect,,Male,,Yes,Master's degree
2019-10-18 18:51:43,2019-10-18 18:54:17,IP Address,45.35.132.7,100,154,True,2019-10-18 18:54:17,R_qylweWe9MPLWRKF,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,6,2017,1-10,"Audio (music, radio, podcasts, etc)",Information,Controlling other devices,,,,,,,,,Somewhat agree,Strongly agree,nothing,Probably incorrect,Definitely incorrect,I don't know,Probably incorrect,Probably correct,25 - 34,Male,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:48:46,2019-10-18 18:54:17,IP Address,157.50.202.221,100,330,True,2019-10-18 18:54:17,R_1otYTTYnG3FbDaS,,,,,13.087799072265625,80.27850341796875,anonymous,EN,12,2014,1-10,"Audio (music, radio, podcasts, etc)",Information,,Conversation,,,,,,,,Somewhat agree,Neither agree nor disagree,it was safety to device,Probably incorrect,I don't know,I don't know,Definitely incorrect,Probably incorrect,25 - 34,Female,,Yes,Bachelor's degree in college (4-year)
2019-10-18 18:50:56,2019-10-18 18:54:43,IP Address,75.100.13.231,100,227,True,2019-10-18 18:54:43,R_qQ4VP6dJHYFtkYx,,,,,44.7996978759765625,-89.68450164794921875,anonymous,EN,7,2018,1-10,,Information,Controlling other devices,,,,Weather,Time,,,,Somewhat agree,Somewhat agree,How much information the device records and how accessible it is to others.,Definitely incorrect,Definitely correct,Probably correct,Probably correct,Definitely incorrect,25 - 34,Male,,Yes,High school graduate (high school diploma or equivalent including GED)
2019-10-18 18:53:34,2019-10-18 18:54:45,IP Address,157.46.116.2,100,71,True,2019-10-18 18:54:45,R_1d4SPAOE0xJGQwS,,,,,13.087799072265625,80.27850341796875,anonymous,EN,9,2019,1-10,"Audio (music, radio, podcasts, etc)",Information,,Conversation,,,Weather,Time,,,,Somewhat agree,Strongly agree,"no privacy and security ",Probably incorrect,Definitely correct,I don't know,Probably correct,I don't know,35 - 44,Female,,Yes,Bachelor's degree in college (4-year)
